학교명,설립별,지역별,교외장학금 국가,교내장학금 저소득층장학금,장학금_총계,총_대출_금액,총_등록금대출_금액,총_생활비대출_금액,총_대출_학생수
제주국제대학교,사립,제주,121006036,46800000,829500560,104510000,53210000,51300000,36
제주대학교,국공립,제주,20280733019,1641875970,27177775706,6826796910,3021462231,3805334679,2463
제주한라대학교,사립,제주,11033947840,9040000,13285697155,2508256790,1138306790,1369950000,943
조선간호대학교,사립,광주,1842357568,163106500,2301457770,668981750,254881750,414100000,268
조선대학교,사립,광주,48480234460,4562616600,67271271120,14340930403,7878910797,6462019606,4654
조선이공대학교,사립,광주,8099033350,4448166,10285526958,1386525192,389306250,997218942,618
중부대학교,사립,충남,19930365280,1929028500,29467560845,7205941632,4147246987,3058694645,2403
중앙대학교,사립,서울,45332366376,16965651150,82149216925,37724313643,27425680303,10298633340,8243
중원대학교,사립,충북,9087657303,0,19065380412,2421250370,1107333700,1313916670,869
진주교육대학교,국공립,경남,2264500352,213963000,3337101170,454258400,121108400,333150000,198
진주보건대학교,사립,경남,7967586344,524531800,9884414529,2399462054,1080762054,1318700000,897
차의과학대학교,사립,경기,6872572060,982830950,9843910131,7013512215,5242917765,1770594450,1471
창신대학교,사립,경남,5562085666,346325100,8062068945,1071783340,440450000,631333340,429
창원문성대학교,사립,경남,2868476318,0,3506021795,828450000,400850000,427600000,316
청강문화산업대학교,사립,경기,10863559626,1588439086,14557158551,4201868370,2438932536,1762935834,1312
청암대학교,사립,전남,6211655050,3900000,7984718509,1109168010,458168010,651000000,418
청운대학교,사립,충남,21139346130,556910500,28095808243,4467460184,2450978547,2016481637,1571
청주대학교,사립,충북,28781701556,5619752140,44492459515,9314869685,5556019685,3758850000,2958
초당대학교,사립,전남,7664025152,226529750,11923383402,2768468400,1696229500,1072238900,739
총신대학교,사립,서울,4812856508,548602000,6354207349,7109940278,4725037998,2384902280,1796
추계예술대학교,사립,서울,2570709978,398432000,3787086680,2371550980,1662600980,708950000,573
춘천교육대학교,국공립,강원,2212622106,161415000,2864006050,470804000,136254000,334550000,200
춘해보건대학교,사립,울산,8230953897,463118500,10005880005,2767332439,1290282439,1477050000,1022
충남대학교,국공립,대전,29669075804,3272480930,43638538434,13338782899,6478261031,6860521868,4563
충남도립대학교,국공립,충남,1846035098,275452000,3885646444,331514500,76214500,255300000,161
충북대학교,국공립,충북,25880447156,1271221000,38061483280,10046521423,4692054743,5354466680,3513
충북도립대학교,국공립,충북,1330986642,0,1919043283,171595980,42645980,128950000,80
충북보건과학대학교,사립,충북,6619029926,95062400,8939776939,1632055860,818905860,813150000,592
충청대학교,사립,충북,8370892085,548498620,11629662810,1798504685,855868851,942635834,660
칼빈대학교,사립,경기,960936432,1500000,2902386060,792035000,497035000,295000000,221
평택대학교,사립,경기,8531670480,916409000,12342047520,3945248449,2608015109,1337233340,1139
포항공과대학교,사립,경북,4246467213,48472800,11164528477,3912469000,2786819000,1125650000,853
포항대학교,사립,경북,5876548569,1166800,7393888887,1657443451,669293451,988150000,638
한경국립대학교,국공립,경기,11961298304,425393430,16318842120,2510916810,887194080,1623722730,1077
한국과학기술원,국공립,대전,4791686714,505632740,28234464377,12159420000,9179320000,2980100000,2092
한국관광대학교,사립,경기,3430851935,58765000,4562224173,894811460,445811460,449000000,321
한국교원대학교,국공립,충북,4196024367,499829900,6351229650,2193765325,1179065325,1014700000,765
한국기술교육대학교,사립,충남,8778099399,141044410,15536880063,1580662224,546912224,1033750000,662
한국농수산대학교,국공립,전북,174818800,0,174818800,131825000,9975000,121850000,64
한국방송통신대학교,국공립,서울,13157412514,745391900,22882242229,16102031058,1797795906,14304235152,7674
한국복지사이버대학교,사립,경북,3560665000,25830000,5242231000,367858420,37358420,330500000,201
한국성서대학교,사립,서울,3214307172,56640000,4374722229,1535841775,965522825,570318950,486
한국승강기대학교,사립,경남,1971713132,155807800,2611759150,320707160,157457160,163250000,119
한국에너지공과대학교,국공립,전남,319950000,0,4376732500,75750000,0,75750000,38
한국열린사이버대학교,사립,서울,7800589120,110382600,11211873610,1129347000,127147000,1002200000,583
한국영상대학교,사립,세종,9728977337,571373400,12153280245,3487376404,1775131954,1712244450,1195
한국체육대학교,국공립,서울,4073762834,147812000,6496372903,2273712065,1046762065,1226950000,796
한국침례신학대학교,사립,대전,4301970899,119375300,5319422952,2637574759,1538874759,1098700000,772
한국폴리텍 I 대학 서울강서캠퍼스,사립,서울,399040000,10982000,519564115,150222000,29422000,120800000,75
한국폴리텍 I 대학 서울정수캠퍼스,사립,서울,1156485811,34666600,1448198911,531973830,92673830,439300000,255
한국폴리텍 I 대학 성남캠퍼스,사립,경기,500124340,8932000,652492340,234314000,42064000,192250000,112
한국폴리텍 I 대학 제주캠퍼스,사립,제주,58969000,1082000,69969000,11546000,3046000,8500000,6
한국폴리텍 II 대학 남인천캠퍼스,사립,인천,44892000,1247000,75656000,18273519,2294000,15979519,8
한국폴리텍 II 대학 인천캠퍼스,사립,인천,1586866563,35229000,1983080063,765140080,141540080,623600000,351
한국폴리텍 III 대학 강릉캠퍼스,사립,강원,131500750,5515500,164062750,35047500,2247500,32800000,18
한국폴리텍 III 대학 원주캠퍼스,사립,강원,109787000,4792000,146485000,39087000,587000,38500000,20
한국폴리텍 III 대학 춘천캠퍼스,사립,강원,258508000,5648000,338657000,79012000,8512000,70500000,39
한국폴리텍 IV 대학 대전캠퍼스,사립,대전,769444000,13376000,971267450,373412660,34762660,338650000,194
한국폴리텍 IV 대학 아산캠퍼스,사립,충남,385824001,8216000,504413001,97612000,7712000,89900000,49
